Date      = Sat Apr 23 23:40:39 EDT 2022
host      = c0909a-s35
Directory = /blue/ctolerfranklin/michaelperez012/videogan-pytorch
Model restored
Epoch 9/10 | Iter 126/30188 | D 4.9575e-02 | G 5.7974e+00 | Real 0.96 | Fake 0.04
Epoch 9/10 | Iter 127/30188 | D 6.7815e-03 | G 9.2941e+00 | Real 0.99 | Fake 0.01
Epoch 9/10 | Iter 128/30188 | D 2.7291e-03 | G 6.5474e+00 | Real 0.99 | Fake 0.00
Epoch 9/10 | Iter 129/30188 | D 4.1248e-04 | G 6.5559e+00 | Real 1.00 | Fake 0.00
Epoch 9/10 | Iter 130/30188 | D 4.7127e-03 | G 7.9472e+00 | Real 1.00 | Fake 0.01
Epoch 9/10 | Iter 131/30188 | D 1.0682e-02 | G 4.6214e+00 | Real 0.98 | Fake 0.00
Epoch 9/10 | Iter 132/30188 | D 2.6058e-03 | G 3.6136e+00 | Real 1.00 | Fake 0.01
Epoch 9/10 | Iter 133/30188 | D 6.9560e-03 | G 5.8685e+00 | Real 0.99 | Fake 0.01
Epoch 9/10 | Iter 134/30188 | D 2.8875e-03 | G 7.1673e+00 | Real 1.00 | Fake 0.00
Epoch 9/10 | Iter 135/30188 | D 1.1822e-03 | G 5.1566e+00 | Real 1.00 | Fake 0.00
Epoch 9/10 | Iter 136/30188 | D 6.0135e-02 | G 5.6386e+00 | Real 0.90 | Fake 0.01
Epoch 9/10 | Iter 137/30188 | D 8.8336e-03 | G 5.2837e+00 | Real 1.00 | Fake 0.02
Epoch 9/10 | Iter 138/30188 | D 2.5353e-01 | G 9.2641e+00 | Real 1.00 | Fake 0.31
Epoch 9/10 | Iter 139/30188 | D 2.0194e-02 | G 1.1895e+01 | Real 0.97 | Fake 0.01
Epoch 9/10 | Iter 140/30188 | D 2.4402e-01 | G 1.0537e+01 | Real 0.71 | Fake 0.00
Epoch 9/10 | Iter 141/30188 | D 9.1811e-03 | G 8.2957e+00 | Real 0.99 | Fake 0.01
Epoch 9/10 | Iter 142/30188 | D 5.5174e-03 | G 5.4598e+00 | Real 1.00 | Fake 0.01
Epoch 9/10 | Iter 143/30188 | D 9.0290e-02 | G 8.8524e+00 | Real 1.00 | Fake 0.14
Epoch 9/10 | Iter 144/30188 | D 1.4343e-01 | G 5.8432e+00 | Real 0.91 | Fake 0.00
Epoch 9/10 | Iter 145/30188 | D 4.9531e-02 | G 5.7761e+00 | Real 0.92 | Fake 0.00
Epoch 9/10 | Iter 146/30188 | D 5.6442e-03 | G 5.6433e+00 | Real 1.00 | Fake 0.01
Epoch 9/10 | Iter 147/30188 | D 9.2523e-02 | G 9.8060e+00 | Real 1.00 | Fake 0.11
Epoch 9/10 | Iter 148/30188 | D 1.4472e-02 | G 8.7418e+00 | Real 0.99 | Fake 0.01
Epoch 9/10 | Iter 149/30188 | D 1.4537e-02 | G 8.1697e+00 | Real 0.99 | Fake 0.01
Epoch 9/10 | Iter 150/30188 | D 2.8486e-03 | G 9.2860e+00 | Real 1.00 | Fake 0.00
Epoch 9/10 | Iter 151/30188 | D 1.8920e-02 | G 7.4550e+00 | Real 0.96 | Fake 0.00
Epoch 9/10 | Iter 152/30188 | D 2.9467e-02 | G 8.0059e+00 | Real 1.00 | Fake 0.04
Epoch 9/10 | Iter 153/30188 | D 1.2893e-02 | G 7.3552e+00 | Real 0.98 | Fake 0.00
Epoch 9/10 | Iter 154/30188 | D 2.7280e-03 | G 1.1353e+01 | Real 1.00 | Fake 0.01
Epoch 9/10 | Iter 155/30188 | D 3.7428e-04 | G 7.9228e+00 | Real 1.00 | Fake 0.00
Epoch 9/10 | Iter 156/30188 | D 2.7199e-03 | G 7.6864e+00 | Real 1.00 | Fake 0.00
Epoch 9/10 | Iter 157/30188 | D 5.3190e-03 | G 8.7072e+00 | Real 1.00 | Fake 0.01
Epoch 9/10 | Iter 158/30188 | D 2.7130e-03 | G 8.2185e+00 | Real 1.00 | Fake 0.00
Epoch 9/10 | Iter 159/30188 | D 5.5430e-04 | G 8.6391e+00 | Real 1.00 | Fake 0.00
Epoch 9/10 | Iter 160/30188 | D 1.0586e-03 | G 8.7793e+00 | Real 1.00 | Fake 0.00
Epoch 9/10 | Iter 161/30188 | D 9.4417e-04 | G 7.1748e+00 | Real 1.00 | Fake 0.00
Epoch 9/10 | Iter 162/30188 | D 1.3903e-02 | G 7.7484e+00 | Real 0.99 | Fake 0.01
Epoch 9/10 | Iter 163/30188 | D 2.5982e-02 | G 6.9682e+00 | Real 0.99 | Fake 0.04
Epoch 9/10 | Iter 164/30188 | D 2.3927e-03 | G 9.2066e+00 | Real 1.00 | Fake 0.00
Epoch 9/10 | Iter 165/30188 | D 4.2600e-02 | G 7.3579e+00 | Real 0.94 | Fake 0.00
